Record,Action,Time,Policy,Enforcement,User,Log Level,From resource name,To resource name,Host,Application,Attributes,,,,,,,,,,,,,,,,,,,
56,Open,5/1/2007,/CE/ProcessPolicy1,Allow,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
57,Rename,6/1/2005,/CE/ProcessPolicy1,Allow,abraham.lincoln@qapf.qalab01nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/two1.doc,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
58,Create/Edit,7/1/2006,/CE/ProcessPolicy1,Allow,john.adams@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
59,Print,7/1/2006,/CE/ProcessPolicy1,Allow,gerald.ford@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
60,Export,3/1/2008,/CE/ProcessPolicy1,Allow,chester.arthur@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site2/one.doc,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
61,Copy,8/1/2008,/CE/ProcessPolicy1,Allow,andrew.jackson@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site2/one.doc,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
62,Move,9/1/2008,/CE/ProcessPolicy1,Allow,jimmy.carter@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site2/one.doc,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
63,Delete,9/19/2008,/CE/ProcessPolicy1,Allow,jimmy.carter@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
Business Process4:Financial Reporting; Site3:pf-https2/sites/siteA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Attach to Item,4/1/2006,/CE/ProcessPolicy2,Deny,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteX/x.dot,,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteX/x.dot,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteX/x.dot,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:dot,Keywords:FILE,Publisher: jimmy carter,Revision:R1,Source:sourcedoc1,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
65,Open,5/1/2007,/CE/ProcessPolicy2,Deny,abraham.lincoln@qapf.qalab01nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
66,Rename,6/1/2005,/CE/ProcessPolicy2,Deny,john.adams@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteX/y.dot,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
67,Create/Edit,7/1/2006,/CE/ProcessPolicy2,Deny,gerald.ford@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteY/1.ppt,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
68,Print,7/1/2006,/CE/ProcessPolicy2,Deny,chester.arthur@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
69,Export,3/1/2008,/CE/ProcessPolicy2,Deny,andrew.jackson@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteB/SiteX/1.ppt,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
70,Copy,8/1/2008,/CE/ProcessPolicy2,Deny,jimmy.carter@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteX/1.ppt,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
71,Move,9/1/2008,/CE/ProcessPolicy2,Deny,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteB/SiteZ/1.ppt,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
72,Delete,9/19/2008,/CE/ProcessPolicy2,Deny,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteA/SiteY/1.ppt,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\powerpoint.ppt,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/1.ppt,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:ppt,Keywords:FILE,Publisher: jimmy carter,Revision:R2,Source:sourceppt,Status:Scheuled,Subject:Test Doc,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: Financial Reporting,,
Business Process5:Employment Reviews; Site4:pf-https2/sites/siteB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Attach to Item,4/1/2006,/CE/ProcessPolicy3,Deny,abraham.lincoln@qapf.qalab01nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\andrew.jackson,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R10,Source:sourcedoc,Status:Scheuled,Subject:Reporter,Version:1.0,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
74,Open,5/1/2007,/CE/ProcessPolicy4,Deny,john.adams@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,X,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
75,Rename,6/1/2005,/CE/ProcessPolicy4,Deny,gerald.ford@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteB/SiteZ/ReporterPRD.doc,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
76,Create/Edit,7/1/2006,/CE/ProcessPolicy4,Deny,chester.arthur@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteY/ReporterDashboardPRD.doc,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
77,Print,7/1/2006,/CE/ProcessPolicy4,Deny,andrew.jackson@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,X,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
78,Export,3/1/2008,/CE/ProcessPolicy4,Deny,jimmy.carter@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteY/ReporterDashboardPRD.doc,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
79,Copy,8/1/2008,/CE/ProcessPolicy4,Deny,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteY/ReporterDashboardPRD.doc,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
80,Move,9/1/2008,/CE/ProcessPolicy4,Deny,abraham.lincoln@qapf.qalab01nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteY/ReporterDashboardPRD.doc,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
81,Delete,9/19/2008,/CE/ProcessPolicy4,Deny,abraham.lincoln@qapf.qalab01nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SiteB/SiteZ/ReporterPRD.doc,X,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/SiteZ/ReporterPRD.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: Employment Reviews,,
Business Process6:IT Knowledge Base' Site5:pf-https2/sites/SitesC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Attach to Item,4/1/2006,/CE/ProcessPolicy4,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SitesC/SiteZ/ReporterPRD.doc,X,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%20Cornerstone/Dashboards%20Test%20Plan.doc,Title:word document,Resource Signature:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%20Cornerstone/Dashboards%20Test%20Plan.doc,Created by:qapf\XYZ,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
83,Open,5/1/2007,/CE/ProcessPolicy5,Deny,gerald.ford@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SitesC/Sitey/ReporterPRD.doc,X,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\Winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
84,Rename,6/1/2005,/CE/ProcessPolicy6,Deny,chester.arthur@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SitesC/Sitey/InstallerReport.xls,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%20Cornerstone/Dashboards%20Test%20Plan.doc,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
85,Create/Edit,7/1/2006,/CE/ProcessPolicy6,Deny,andrew.jackson@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/SitesC/Sitey/InstallerReport.xls,SharePoint://Sharepoint2007.qapf.qalab01.nextlabs.com/SiteA/SiteX/InstallerReport.xls,Pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Title:word document,Resource Signature:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/SiteA/Sitey/ReporterPRD.doc,Created by:qapf\jack.london,Modified by:qapf\john.adams,Date Created:12-25-2007,Date Modified:012-30-2008,Format:doc,Keywords:REQ,Publisher: XYZ,Revision:R11,Source:sourcedoc,Status:Finished,Subject:Reporter,Version:1.1,Custom:~,Obligation: Log SharePoint Control,Business Process: IT Knowledge Base,,
